Date,SPY,QQQ,IEF,LQD,GLD
2021-10-05,406.085388,347.217987,99.424431,109.532883,164.589996
2021-10-06,407.773102,349.442993,99.450272,109.565811,165.029999
2021-10-07,411.298645,352.649017,99.053009,109.079842,164.160004
2021-10-08,410.548492,350.890564,98.837067,108.577309,164.229996
2021-10-11,407.576202,348.199219,98.595245,108.371399,163.919998
2021-10-12,406.572937,346.984863,99.044357,109.063347,164.660004
2021-10-13,408.035675,349.763519,99.234367,109.615242,167.589996
2021-10-14,414.899017,356.204987,99.467598,110.134216,168.0
2021-10-15,418.058838,358.44928,98.97525,109.738808,165.330002
2021-10-18,419.29657,362.053802,98.837067,109.648193,164.919998
2021-10-19,422.531311,364.79361,98.482903,109.04686,165.449997
2021-10-20,424.190979,364.317535,98.439774,108.783272,166.899994
2021-10-21,425.297363,366.54248,98.180626,108.552628,166.75
2021-10-22,424.856689,363.462616,98.431129,108.989189,167.770004
2021-10-25,427.13504,367.183685,98.552025,109.038597,168.929993
2021-10-26,427.51947,368.339844,98.672974,109.508171,167.679993
2021-10-27,425.62561,369.194824,99.225792,110.175385,168.119995
2021-10-28,429.732361,373.294769,98.966644,110.010635,168.080002
2021-10-29,430.604218,375.131042,99.009842,109.95298,166.649994
2021-11-01,431.345032,376.413544,99.002045,109.756531,167.520004
2021-11-02,433.088928,377.987457,99.244064,110.17746,167.160004
2021-11-03,435.733124,381.999939,98.932884,109.896858,165.770004
2021-11-04,437.78656,386.896667,99.468781,110.474632,167.649994
2021-11-05,439.305481,387.265839,100.013359,111.283478,169.839996
2021-11-08,439.680481,386.741272,99.581146,111.027603,170.449997
2021-11-09,438.227112,384.079254,100.039268,111.324753,171.289993
2021-11-10,434.701752,378.434357,99.183556,110.185715,173.149994
2021-11-11,434.842346,379.483704,98.863716,109.872108,174.119995
2021-11-12,438.124023,383.476837,99.071175,109.756531,174.449997
2021-11-15,438.273987,383.389404,98.682243,108.922951,174.179993
2021-11-16,440.008606,386.119507,98.595779,108.741364,172.919998
2021-11-17,438.939697,386.323547,98.950172,109.17881,174.5
2021-11-18,440.430603,390.326447,99.010704,109.426422,173.940002
2021-11-19,439.643005,392.502625,99.278656,109.839111,172.610001
2021-11-22,438.405365,387.946106,98.552567,108.881676,168.740005
2021-11-23,438.986633,386.177795,98.146347,108.105835,167.279999
2021-11-24,440.15863,387.421417,98.448891,108.625816,167.119995
2021-11-26,430.341736,380.076324,99.719452,109.508965,166.850006
2021-11-29,435.620605,388.324921,99.494736,109.583221,166.619995
2021-11-30,427.14447,382.621826,100.091141,109.822578,165.5
2021-12-01,422.400024,376.112274,100.279686,109.838295,166.160004
2021-12-02,428.869629,378.823059,100.063423,110.094627,165.240005
2021-12-03,425.137909,372.23584,100.651634,111.012421,166.630005
2021-12-06,430.172974,375.218475,100.149956,110.450157,166.220001
2021-12-07,439.071075,386.517822,99.769356,110.499794,166.809998
2021-12-08,440.233643,388.247223,99.44928,109.76387,166.899994
2021-12-09,437.261444,382.534363,99.700165,109.672905,165.880005
2021-12-10,441.377594,386.692749,99.769356,109.796974,166.580002
2021-12-13,437.467712,381.106171,100.245117,110.293068,167.0
